city_name	DBpedia_URL	rating	id	label
Vancouver	http://dbpedia.org/resource/Vancouver	106.0	1.0	high
Zurich	http://dbpedia.org/resource/Zurich	106.0	2.0	high
Vienna	http://dbpedia.org/resource/Vienna	106.0	3.0	high
Bern	http://dbpedia.org/resource/Bern	106.0	4.0	high
Geneva	http://dbpedia.org/resource/Geneva	105.5	6.0	high
Auckland	http://dbpedia.org/resource/Auckland	105.5	7.0	high
Copenhagen	http://dbpedia.org/resource/Copenhagen	105.5	8.0	high
Helsinki	http://dbpedia.org/resource/Helsinki	104.5	9.0	high
Amsterdam	http://dbpedia.org/resource/Amsterdam	104.5	10.0	high
Munich	http://dbpedia.org/resource/Munich	104.0	12.0	high
Melbourne	http://dbpedia.org/resource/Melbourne	104.0	13.0	high
Honolulu	http://dbpedia.org/resource/Honolulu	104.0	14.0	high
Dusseldorf	http://dbpedia.org/resource/Dusseldorf	103.5	15.0	high
San Francisco	http://dbpedia.org/resource/San_Francisco	103.5	16.0	high
Oslo	http://dbpedia.org/resource/Oslo	103.5	17.0	high
Brussels	http://dbpedia.org/resource/Brussels	103.5	19.0	high
Toronto	http://dbpedia.org/resource/Toronto	103.5	20.0	high
Adelaide	http://dbpedia.org/resource/Adelaide	103.0	21.0	high
Luxembourg	http://dbpedia.org/resource/Luxembourg	103.0	22.0	high
Paris	http://dbpedia.org/resource/Paris	102.5	24.0	high
Nurnberg	http://dbpedia.org/resource/Nurnberg	102.5	25.0	high
Montreal	http://dbpedia.org/resource/Montreal	102.5	27.0	high
Tokyo	http://dbpedia.org/resource/Tokyo	102.5	28.0	high
Berlin	http://dbpedia.org/resource/Berlin	102.0	29.0	high
Hamburg	http://dbpedia.org/resource/Hamburg	102.0	30.0	high
Wellington	http://dbpedia.org/resource/Wellington	102.0	31.0	high
Ludwigshafen	http://dbpedia.org/resource/Ludwigshafen	102.0	32.0	high
Lyon	http://dbpedia.org/resource/Lyon	102.0	33.0	high
Atlanta	http://dbpedia.org/resource/Atlanta	101.5	34.0	high
London	http://dbpedia.org/resource/London	101.5	35.0	high
Calgary	http://dbpedia.org/resource/Calgary	101.5	36.0	high
Kobe	http://dbpedia.org/resource/Kobe	101.5	37.0	high
Lexington	http://dbpedia.org/resource/Lexington	101.0	38.0	high
Seattle	http://dbpedia.org/resource/Seattle	101.0	39.0	high
Dublin	http://dbpedia.org/resource/Dublin	101.0	40.0	high
Yokohama	http://dbpedia.org/resource/Yokohama	101.0	43.0	high
Washington Dc	http://dbpedia.org/resource/Washington_Dc	100.5	45.0	high
Pittsburgh	http://dbpedia.org/resource/Pittsburgh	100.0	46.0	high
Boston	http://dbpedia.org/resource/Boston	100.0	48.0	high
New York	http://dbpedia.org/resource/New_York	100.0	50.0	high
